model,oversample_method,cv_score,estimator,f1_macro,accuracy,precision,recall
rfc_smote,smote,0.8274999166603788,"RandomForestClassifier(class_weight='balanced', random_state=42)",0.7009983461475169,0.9637979145248935,0.6510106322456836,0.8140583541224072
rfc_adasyn,adasyn,0.8252133552677842,"RandomForestClassifier(class_weight='balanced', random_state=42)",0.7068182307477018,0.9668086356293142,0.6599369641691066,0.8011882278012359
rfc_borderline_smote,borderline_smote,0.8167869980955029,"RandomForestClassifier(class_weight='balanced', random_state=42)",0.721058760528666,0.9713614333969746,0.6797568970189517,0.7909056249504147
rfc_svm_smote,svm_smote,0.8264383632167922,"RandomForestClassifier(class_weight='balanced', random_state=42)",0.6814070442423192,0.9541048612131003,0.6289472499065747,0.8415269280947806
rfc_smote_enn,smote_enn,0.8157973688435428,"RandomForestClassifier(class_weight='balanced', random_state=42)",0.6150572886925283,0.910632985754149,0.5812458087293242,0.8859765208346189
rfc_smote_tomek,smote_tomek,0.8274999166603788,"RandomForestClassifier(class_weight='balanced', random_state=42)",0.701431803366087,0.9633573211925393,0.6505219473235141,0.8192358803254556
rfc_random_oversample,random_oversample,0.7579771965731561,"RandomForestClassifier(class_weight='balanced', random_state=42)",0.7184214350553341,0.9791452489352328,0.7317345856894302,0.7066390789044525
xgb_smote,smote,0.8588313984305695,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=None, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=None,
              n_jobs=None, num_parallel_tree=None, random_state=42, ...)",0.6896752712693075,0.9519753267733881,0.6324282201194148,0.8854597323718938
xgb_adasyn,adasyn,0.8570678239588265,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=None, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=None,
              n_jobs=None, num_parallel_tree=None, random_state=42, ...)",0.6889287869310082,0.9507269789983845,0.6312971567826555,0.8938266918486262
xgb_borderline_smote,borderline_smote,0.8633849724990441,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric='logloss',
              feature_types=None, gamma=None, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=None, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=None,
              n_jobs=None, num_parallel_tree=None, random_state=42, ...)",0.6917462693637785,0.9517550301072111,0.6335193942012843,0.894351193571989
